id,trialIdx,trialType,score,maxLevelReached,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8,networkId,myopic_score,ai_score,sessionId
832,4.0,individual,900.0,2.0,0.0,-50.0,-50.0,400.0,200.0,100.0,100.0,200.0,e9073951acef262498eac37b38155caf,1000.0,1150.0,6422d978aff8868105633832
832,5.0,individual,900.0,1.0,0.0,200.0,-50.0,200.0,200.0,-50.0,200.0,200.0,282a6cc7486e263d2b0fee9e3f1972f7,400.0,1050.0,6422d978aff8868105633832
832,10.0,try_yourself,800.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51edc36de506ff346ed262c1081554eb,800.0,1450.0,6422d978aff8868105633832
832,12.0,try_yourself,1150.0,4.0,100.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,400.0,51edc36de506ff346ed262c1081554eb,800.0,1450.0,6422d978aff8868105633832
832,13.0,try_yourself,850.0,1.0,200.0,-50.0,200.0,-50.0,200.0,-50.0,200.0,200.0,31d35353bbfefdb5c7596273e9615d25,1000.0,1250.0,6422d978aff8868105633832
832,15.0,try_yourself,1050.0,1.0,200.0,200.0,-50.0,200.0,200.0,100.0,0.0,200.0,31d35353bbfefdb5c7596273e9615d25,1000.0,1250.0,6422d978aff8868105633832
832,17.0,try_yourself,900.0,2.0,100.0,200.0,-50.0,-50.0,400.0,-50.0,-50.0,400.0,6432e2a0cd8bcd98e8be048855473b47,600.0,850.0,6422d978aff8868105633832
832,19.0,try_yourself,900.0,2.0,100.0,200.0,-50.0,-50.0,400.0,-50.0,-50.0,400.0,6432e2a0cd8bcd98e8be048855473b47,600.0,850.0,6422d978aff8868105633832
832,20.0,try_yourself,1100.0,0.0,200.0,100.0,100.0,200.0,100.0,100.0,200.0,100.0,3706dc98663f54690dbb9ea5c694ba5c,1100.0,1450.0,6422d978aff8868105633832
832,22.0,try_yourself,800.0,1.0,-50.0,200.0,-50.0,200.0,100.0,200.0,100.0,100.0,3706dc98663f54690dbb9ea5c694ba5c,1100.0,1450.0,6422d978aff8868105633832
832,24.0,individual,650.0,1.0,0.0,100.0,200.0,100.0,0.0,100.0,200.0,-50.0,d34c336c4eb89dcdbf7822e604104c8d,800.0,1450.0,6422d978aff8868105633832
832,25.0,individual,950.0,4.0,100.0,200.0,-50.0,-50.0,-50.0,200.0,200.0,400.0,effdef11328d73c3c5fb806e1f13adc1,1200.0,1250.0,6422d978aff8868105633832
832,26.0,individual,600.0,1.0,-50.0,0.0,200.0,100.0,200.0,-50.0,0.0,200.0,0f145ca3e4e5228d4e3449f685bb10b8,400.0,1250.0,6422d978aff8868105633832
832,27.0,individual,1500.0,0.0,100.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0bddb988344c63b517199423b95804e4,1500.0,1650.0,6422d978aff8868105633832
832,29.0,demonstration,650.0,1.0,100.0,100.0,-50.0,200.0,-50.0,200.0,-50.0,200.0,1851eca6c4e1cf00a08ae8ca8318e252,800.0,1050.0,6422d978aff8868105633832
832,30.0,demonstration,1200.0,0.0,200.0,200.0,100.0,100.0,200.0,100.0,100.0,200.0,dfa200ad4c7fba141f3560310557f63f,1200.0,1250.0,6422d978aff8868105633832
833,4.0,individual,-350.0,1.0,-50.0,200.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,5d7c38f6314a4ad3ae28ea51f832d6b5,900.0,1250.0,6422d978aff8868105633833
833,5.0,individual,600.0,4.0,200.0,-50.0,200.0,200.0,-50.0,-50.0,-50.0,200.0,ef6faa2a7b3212e04fdf1a319b796812,650.0,1250.0,6422d978aff8868105633833
833,10.0,try_yourself,350.0,4.0,-50.0,-50.0,400.0,0.0,-50.0,-50.0,-50.0,200.0,975ea289a849aed45e6c4ac4a9cad8e9,1600.0,1450.0,6422d978aff8868105633833
833,12.0,try_yourself,1250.0,4.0,-50.0,-50.0,-50.0,200.0,200.0,400.0,400.0,200.0,975ea289a849aed45e6c4ac4a9cad8e9,1600.0,1450.0,6422d978aff8868105633833
833,13.0,try_yourself,600.0,4.0,-50.0,200.0,-50.0,-50.0,-50.0,200.0,200.0,200.0,ffac4c7b6e9a1d6afaa0d18b45bd17a4,550.0,1250.0,6422d978aff8868105633833
833,15.0,try_yourself,1250.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,400.0,200.0,ffac4c7b6e9a1d6afaa0d18b45bd17a4,550.0,1250.0,6422d978aff8868105633833
833,17.0,try_yourself,600.0,1.0,0.0,-50.0,200.0,200.0,-50.0,200.0,200.0,-50.0,772dadcc013c0b1c9d983020ef5d0b6e,1100.0,1050.0,6422d978aff8868105633833
833,19.0,try_yourself,1100.0,0.0,0.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0,772dadcc013c0b1c9d983020ef5d0b6e,1100.0,1050.0,6422d978aff8868105633833
833,20.0,try_yourself,850.0,4.0,200.0,-50.0,-50.0,-50.0,200.0,200.0,200.0,200.0,a8abfb1f3cd12a69ab0a2f01fddbc0f8,1200.0,1450.0,6422d978aff8868105633833
833,22.0,try_yourself,1200.0,0.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,a8abfb1f3cd12a69ab0a2f01fddbc0f8,1200.0,1450.0,6422d978aff8868105633833
833,24.0,individual,1200.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0,23eec9f49d5651260877a2b0f926979a,1200.0,1250.0,6422d978aff8868105633833
833,25.0,individual,700.0,1.0,0.0,200.0,-50.0,200.0,200.0,0.0,-50.0,200.0,268b96a55e3092c64316ab7dcb993406,600.0,1050.0,6422d978aff8868105633833
833,26.0,individual,700.0,4.0,100.0,-50.0,200.0,-50.0,-50.0,-50.0,200.0,400.0,fbb1ccf568906e9b36f2f0dce5fe5d9f,500.0,1450.0,6422d978aff8868105633833
833,27.0,individual,1200.0,0.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0,91cdbb8e2f9597586478fa053981cb26,1000.0,1250.0,6422d978aff8868105633833
833,29.0,demonstration,1300.0,0.0,100.0,200.0,200.0,100.0,200.0,200.0,100.0,200.0,28aacb8e9eff3a3e549c477497a0a57b,1300.0,1250.0,6422d978aff8868105633833
833,30.0,demonstration,300.0,2.0,0.0,100.0,0.0,0.0,-50.0,-50.0,400.0,-50.0,0a400e3d360694b0d15eb670d0cbf4a3,200.0,1050.0,6422d978aff8868105633833
834,4.0,individual,750.0,2.0,200.0,200.0,-50.0,-50.0,400.0,-50.0,200.0,-50.0,dd33e76ce36532d66d6ae40164cc2235,1300.0,1250.0,6422d978aff8868105633834
834,5.0,individual,950.0,4.0,200.0,100.0,200.0,-50.0,-50.0,-50.0,200.0,400.0,03d27900534c8d5cf45d608815e61639,1200.0,1250.0,6422d978aff8868105633834
834,10.0,try_yourself,1050.0,4.0,200.0,200.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,975ea289a849aed45e6c4ac4a9cad8e9,1600.0,1450.0,6422d978aff8868105633834
834,12.0,try_yourself,1150.0,1.0,-50.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,975ea289a849aed45e6c4ac4a9cad8e9,1600.0,1450.0,6422d978aff8868105633834
834,13.0,try_yourself,600.0,2.0,100.0,-50.0,200.0,100.0,-50.0,-50.0,400.0,-50.0,ffac4c7b6e9a1d6afaa0d18b45bd17a4,550.0,1250.0,6422d978aff8868105633834
834,15.0,try_yourself,450.0,2.0,-50.0,200.0,100.0,-50.0,-50.0,400.0,-50.0,-50.0,ffac4c7b6e9a1d6afaa0d18b45bd17a4,550.0,1250.0,6422d978aff8868105633834
834,17.0,try_yourself,850.0,4.0,200.0,-50.0,-50.0,-50.0,200.0,200.0,200.0,200.0,42f21d9512905fdee902b69795f3de35,600.0,1250.0,6422d978aff8868105633834
834,19.0,try_yourself,850.0,4.0,200.0,-50.0,-50.0,-50.0,200.0,200.0,200.0,200.0,42f21d9512905fdee902b69795f3de35,600.0,1250.0,6422d978aff8868105633834
834,20.0,try_yourself,750.0,2.0,100.0,100.0,-50.0,200.0,100.0,-50.0,-50.0,400.0,e8734b5b66bca9a8369582876f59eafe,800.0,1250.0,6422d978aff8868105633834
834,22.0,try_yourself,600.0,2.0,100.0,100.0,-50.0,200.0,-50.0,-50.0,400.0,-50.0,e8734b5b66bca9a8369582876f59eafe,800.0,1250.0,6422d978aff8868105633834
834,24.0,individual,1250.0,4.0,200.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,400.0,dc8cf713b9c5aed18e6e65c78884ece4,800.0,1250.0,6422d978aff8868105633834
834,25.0,individual,600.0,4.0,-50.0,0.0,200.0,-50.0,-50.0,-50.0,200.0,400.0,d4329f9d09e26255b7558ae1bb3500f4,400.0,1450.0,6422d978aff8868105633834
834,26.0,individual,800.0,2.0,100.0,-50.0,-50.0,400.0,100.0,-50.0,-50.0,400.0,d0a1983cf5a191aeae23939165dc3c67,300.0,1050.0,6422d978aff8868105633834
834,27.0,individual,500.0,2.0,-50.0,-50.0,400.0,-50.0,-50.0,400.0,-50.0,-50.0,ba32ac7f7714b924c1e4b44004b4c273,1200.0,1450.0,6422d978aff8868105633834
834,29.0,demonstration,350.0,2.0,-50.0,200.0,-50.0,200.0,-50.0,200.0,-50.0,-50.0,84aa64ecc9b04318af3e98f965f9b897,400.0,1450.0,6422d978aff8868105633834
834,30.0,demonstration,1250.0,4.0,200.0,-50.0,-50.0,-50.0,200.0,400.0,400.0,200.0,771e6b8468e2e77f544b63d4de33dad2,900.0,1250.0,6422d978aff8868105633834
835,4.0,individual,550.0,1.0,100.0,200.0,-50.0,0.0,200.0,100.0,100.0,-50.0,c83906ad4f596c0a823e4de788c2404d,1100.0,1650.0,6422d978aff8868105633835
835,5.0,individual,1000.0,2.0,0.0,-50.0,-50.0,200.0,400.0,200.0,200.0,100.0,0e64dec233622fb2b0a7c82bf7b9bb1f,1100.0,1250.0,6422d978aff8868105633835
835,10.0,try_yourself,1100.0,2.0,200.0,200.0,200.0,-50.0,-50.0,400.0,0.0,200.0,975ea289a849aed45e6c4ac4a9cad8e9,1600.0,1450.0,6422d978aff8868105633835
835,12.0,try_yourself,1250.0,4.0,-50.0,-50.0,-50.0,200.0,200.0,400.0,200.0,400.0,975ea289a849aed45e6c4ac4a9cad8e9,1600.0,1450.0,6422d978aff8868105633835
835,13.0,try_yourself,-150.0,2.0,100.0,-50.0,200.0,-50.0,-50.0,-50.0,-50.0,-50.0,ffac4c7b6e9a1d6afaa0d18b45bd17a4,550.0,1250.0,6422d978aff8868105633835
835,15.0,try_yourself,-150.0,3.0,-50.0,-50.0,-50.0,-50.0,-50.0,200.0,-50.0,-50.0,ffac4c7b6e9a1d6afaa0d18b45bd17a4,550.0,1250.0,6422d978aff8868105633835
835,17.0,try_yourself,600.0,2.0,200.0,-50.0,-50.0,400.0,0.0,200.0,-50.0,-50.0,6432e2a0cd8bcd98e8be048855473b47,600.0,850.0,6422d978aff8868105633835
835,19.0,try_yourself,850.0,4.0,200.0,-50.0,-50.0,-50.0,200.0,200.0,200.0,200.0,6432e2a0cd8bcd98e8be048855473b47,600.0,850.0,6422d978aff8868105633835
835,20.0,try_yourself,800.0,4.0,-50.0,200.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,3706dc98663f54690dbb9ea5c694ba5c,1100.0,1450.0,6422d978aff8868105633835
835,22.0,try_yourself,1450.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,400.0,200.0,400.0,3706dc98663f54690dbb9ea5c694ba5c,1100.0,1450.0,6422d978aff8868105633835
835,24.0,individual,1450.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,400.0,200.0,400.0,2982eadd7289c898bd3abc510c94330d,250.0,1250.0,6422d978aff8868105633835
835,25.0,individual,1050.0,4.0,-50.0,-50.0,-50.0,200.0,200.0,200.0,200.0,400.0,5ea5e6aef62c6857db6990a8955ebe62,400.0,1250.0,6422d978aff8868105633835
835,26.0,individual,1650.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,400.0,400.0,400.0,7844225719e3ebf6a2ddd97c7674256c,800.0,1650.0,6422d978aff8868105633835
835,27.0,individual,550.0,4.0,-50.0,-50.0,400.0,-50.0,-50.0,-50.0,200.0,200.0,b25cbf1a6c9fcc2202610a2c6d0a9677,800.0,850.0,6422d978aff8868105633835
835,29.0,demonstration,1000.0,2.0,-50.0,-50.0,400.0,200.0,200.0,-50.0,-50.0,400.0,6c40731a43cb4d173ab20f29d9484f0a,1400.0,1050.0,6422d978aff8868105633835
835,30.0,demonstration,1250.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,400.0,200.0,00ce9158e0402fba179f837d8fdabe1b,650.0,1250.0,6422d978aff8868105633835
836,4.0,individual,1000.0,2.0,-50.0,-50.0,400.0,200.0,-50.0,-50.0,400.0,200.0,7f75a5d863126faaf87cfbb1950f37df,800.0,1250.0,6422d978aff8868105633836
836,5.0,individual,-150.0,3.0,100.0,-50.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,396a769fc7b9a1cd199fe20a1dd60cc3,1000.0,1250.0,6422d978aff8868105633836
836,10.0,try_yourself,550.0,2.0,100.0,-50.0,0.0,-50.0,-50.0,400.0,0.0,200.0,6432e2a0cd8bcd98e8be048855473b47,600.0,850.0,6422d978aff8868105633836
836,12.0,try_yourself,600.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,100.0,6432e2a0cd8bcd98e8be048855473b47,600.0,850.0,6422d978aff8868105633836
836,13.0,try_yourself,-100.0,1.0,-50.0,200.0,-50.0,200.0,-50.0,-50.0,-50.0,-50.0,3706dc98663f54690dbb9ea5c694ba5c,1100.0,1450.0,6422d978aff8868105633836
836,15.0,try_yourself,750.0,1.0,200.0,100.0,-50.0,200.0,-50.0,200.0,-50.0,200.0,3706dc98663f54690dbb9ea5c694ba5c,1100.0,1450.0,6422d978aff8868105633836
836,17.0,try_yourself,800.0,2.0,200.0,0.0,-50.0,-50.0,400.0,-50.0,-50.0,400.0,6432e2a0cd8bcd98e8be048855473b47,600.0,850.0,6422d978aff8868105633836
836,19.0,try_yourself,800.0,2.0,100.0,200.0,0.0,-50.0,-50.0,400.0,0.0,200.0,6432e2a0cd8bcd98e8be048855473b47,600.0,850.0,6422d978aff8868105633836
836,20.0,try_yourself,600.0,1.0,-50.0,200.0,-50.0,200.0,-50.0,200.0,-50.0,200.0,3706dc98663f54690dbb9ea5c694ba5c,1100.0,1450.0,6422d978aff8868105633836
836,22.0,try_yourself,800.0,2.0,200.0,100.0,-50.0,-50.0,0.0,400.0,100.0,100.0,3706dc98663f54690dbb9ea5c694ba5c,1100.0,1450.0,6422d978aff8868105633836
836,24.0,individual,850.0,4.0,200.0,0.0,-50.0,-50.0,-50.0,200.0,200.0,400.0,f5d9fc0b1cf995ecf9962f126fe3b156,600.0,1050.0,6422d978aff8868105633836
836,25.0,individual,1050.0,4.0,-50.0,-50.0,-50.0,200.0,200.0,400.0,200.0,200.0,a432d08d2e2a0d22a4efcc5762f09651,1000.0,1050.0,6422d978aff8868105633836
836,26.0,individual,850.0,4.0,0.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,200.0,6ed5182068180c598b98642322910ff0,300.0,1650.0,6422d978aff8868105633836
836,27.0,individual,800.0,2.0,-50.0,-50.0,400.0,-50.0,-50.0,400.0,0.0,200.0,b61897a0fbb034f08ec2b64bb6fe69ef,1600.0,1050.0,6422d978aff8868105633836
836,29.0,demonstration,350.0,2.0,100.0,-50.0,-50.0,400.0,0.0,-50.0,0.0,0.0,21ac73d60a89497fe434c394f41ad118,1200.0,1250.0,6422d978aff8868105633836
